sample_id,depth_m,porosity_pct,permeability_md,grain_density_gcc,oil_saturation_frac,lithology
S-01,1205.2,18.4,85.3,2.65,0.62,sandstone
S-02,1210.8,22.1,210.0,2.64,0.71,sandstone
S-03,1218.4,12.6,8.4,2.71,0.38,siltstone
S-04,1225.0,25.8,540.2,2.63,0.74,sandstone
S-05,1231.6,8.2,0.42,2.70,0.21,shale
S-06,1240.3,19.7,125.6,2.65,0.65,sandstone
S-07,1248.9,16.3,42.1,2.66,0.55,sandstone
S-08,1256.1,6.9,0.18,2.72,0.15,shale
S-09,1264.7,21.4,175.0,2.64,0.68,sandstone
S-10,1272.2,14.8,22.7,2.68,0.44,siltstone
S-11,1280.5,27.3,890.4,2.62,0.78,sandstone
S-12,1289.0,11.1,4.9,2.70,0.33,siltstone
S-13,1297.4,20.6,155.8,2.65,0.66,sandstone
S-14,1305.8,9.4,1.12,2.71,0.24,shale
S-15,1314.2,23.9,320.5,2.63,0.72,sandstone
S-16,1322.6,17.2,68.0,2.66,0.58,sandstone
S-17,1330.1,13.5,12.3,2.69,0.41,siltstone
S-18,1338.7,24.6,410.7,2.63,0.75,sandstone
S-19,1346.3,7.8,0.31,2.72,0.18,shale
S-20,1355.0,19.1,98.6,2.65,0.61,sandstone
S-21,1363.4,15.7,35.4,2.67,0.52,sandstone
S-22,1371.9,26.4,720.1,2.62,0.77,sandstone
S-23,1380.2,10.8,3.6,2.70,0.29,siltstone
S-24,1388.6,18.9,92.4,2.65,0.63,sandstone
S-25,1397.1,22.8,245.3,2.64,0.70,sandstone
